MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\Linearity_1000MU_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:44:18	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.066
Update Count:	2122
Backgrounds Count:	1
Total Pulses:	39908
Total Time:	115450	ms
Beam ON Time:	106050	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
-1.0	31	0.952293184419177	1.080377575119530	1.216944972008011	1.370661674806909	1.518226222621434	1.742193035104824	1.959091745607976	2.240341843745172	2.549543350637788	2.966832548403986	3.398987009541017	4.066003031632018	4.750659658373304	6.210376899641036	8.105404101875020	14.604625283565764	58.116050022683780	92.042814943952980	96.412425807425000	97.395277825485600	98.560787505760320	98.829965195747000	99.666439025805980	99.284275778472740	99.301105987189100	99.158407330980200	99.458131517713400	99.298638695240820	99.213969180005360	99.075958292082480	99.249571353382800	99.217668484136960	99.588052281405360	98.029308370276900	96.816857916832140	92.038098341934700	57.950047462716820	14.451500271383162	7.966669579005828	6.190570252802248	4.761646860653646	4.064930367834107	3.413166711520501	2.983708974446249	2.578310831873302	2.262812907033946	1.964202675906566	1.737792104399843	1.544675910649027	1.380116809323766	1.253764398787107	1.099971542029672	0.981377970591718
-1.5	30	0.000000000000000	1.075055096389904	1.211302761949773	1.366569232850597	1.526670279031491	1.723674202867912	1.950530051374258	2.211624740823575	2.534518197785857	2.914780356342434	3.397824238590244	4.013831380762162	4.831624766785356	5.986161560489752	9.140003384061548	14.647305112496910	58.078326252887640	91.912165452505360	95.284764008739860	96.817494533434780	98.069500307030140	98.622440955452100	99.181039055351300	99.273088233417580	99.284117795857860	98.991239398371220	99.351060300789860	99.364459505067420	99.220596076650760	99.095984908930440	99.220816299846700	99.037598319448360	98.872795363460260	97.765844508096160	95.704492258073380	91.982116318497260	56.501617068960580	14.142829285067928	8.945710815474308	5.912025949117774	4.807137006132652	3.981045051516391	3.393772391669793	2.922818952684865	2.546888434252995	2.217139924278541	1.945361284351026	1.676646180208936	1.521213606595676	1.344825117407392	1.214392042388350	1.071182835738381	0.000000000000000
-2.0	29	0.949228845139027	1.059176225835222	1.186641746550581	1.338092951027121	1.498211457786021	1.691360976085774	1.907729516197571	2.170696300021782	2.462124343339632	2.856241267352020	3.263698207715363	3.913091074118869	4.575846467516206	6.018812403691770	7.821142761384508	14.462922479706666	58.040602483091520	91.517061941706940	95.996970241594300	97.000063532091020	98.277278233473400	98.604747177373200	99.162188006729520	99.175972659090700	99.571037564453540	99.331569689080020	99.590410782007400	99.256221842210120	99.207970712599760	99.256813416951140	99.500110617625240	99.029265511809260	99.099686344891080	97.680667231629900	96.253150288867980	91.647311950818940	55.053186675204380	13.987151505645460	7.761318448705696	5.970103455274096	4.573830163242794	3.901484655363494	3.258058850957416	2.867071597786713	2.469284028175271	2.177418834203452	1.923456357010063	1.691065250284971	1.518707218117348	1.340184779097044	1.187795817620521	1.065692445375648	0.964481679549104
-2.5	28	0.000000000000000	1.025779215261378	1.160326393570082	1.300949366921285	1.463109792479073	1.635828727491592	1.854681406928382	2.101306599726351	2.425280040477217	2.784362162010652	3.236986991249623	3.798988240481749	4.586779363369618	5.692098825376612	8.774415205002180	14.278539846916422	57.359546632452180	91.121958430908520	94.823244409365360	96.908511119861620	97.852034161710300	98.357081513837800	98.700140335091360	98.697576831762200	99.164944353215580	99.173591011487880	99.230365062988300	98.862046369165920	99.128194270793660	99.223187428649160	99.064130983745480	98.479666765272320	98.306304966237380	97.603987784664360	95.131089015175240	91.312507583140580	54.694039628589620	13.831473726222994	8.663659165470982	5.633239260030116	4.569765093194476	3.793004555737376	3.239672148771583	2.818124559329298	2.425311863005833	2.099795027349933	1.868559951559866	1.645451245803536	1.476824929747588	1.309410963242914	1.165784393827664	1.039309448594585	0.000000000000000
-3.0	27	0.884342728994637	1.006462525376904	1.127935245547085	1.267779684874088	1.417449617717396	1.584850452883805	1.773860784298013	2.048134055093322	2.353327056832236	2.709756752116019	3.100899354790731	3.665665708111179	4.280183920103900	5.609671856129674	7.305879386331178	13.938826533848964	56.678490781812840	90.630719966621480	95.265537845097020	96.415742699814440	97.865265779668360	97.897064510665780	98.583714988035900	98.531999859434060	99.217572005158720	98.914428616466660	99.295412089291980	98.871355489239620	99.219572572759780	98.781859813379920	99.053559123435240	98.126925599097780	98.041878970121700	96.677079981905500	95.354710404028040	90.623250304808660	54.334892581974860	13.358464283527748	7.428605226925122	5.623901561435418	4.278986393767614	3.663990627006873	3.089500629062242	2.704025732588996	2.314043837168829	2.046090816868667	1.805537176075931	1.609397663252295	1.433730291826555	1.270452037722121	1.126621345852637	1.016333162980451	0.922512740256582
-3.5	26	0.000000000000000	0.987792911704518	1.090834733382465	1.224784509310588	1.366276594916273	1.512262682028221	1.720108679581665	1.964041779516686	2.261388834888349	2.600438434830457	2.974487405352095	3.482591317068337	4.182174906791676	5.160525292707008	8.143430307029060	13.599113220781508	56.594019310174600	90.139481502334440	93.421088736390880	95.623656054630700	96.245336086522060	96.782195761121060	97.274151895960800	97.629135612779400	97.739136557996380	97.971139359928040	97.978619346101860	98.108390925740800	97.829511164150600	97.631120128675560	97.403096665756120	96.932597537561820	96.449563583346320	95.707742768807940	93.475781290785120	89.933993026476740	53.663997508974540	12.885454840832506	7.989425471028866	5.154775365018818	4.167059291804553	3.494470929460261	2.998508819158765	2.594433904795614	2.254462598263562	1.964987226879977	1.738587887556389	1.552871939303156	1.377966865298472	1.212045549966376	1.092443146023207	0.976889117218000	0.000000000000000
-4.0	25	0.832967815644015	0.933277611213998	1.022826266967670	1.165593562273110	1.310609570608888	1.462019965453616	1.630269472483740	1.869038883217725	2.127748068374018	2.432972654617157	2.714020514718855	3.244455833449447	3.805399097287459	4.956338188746966	6.508203328296550	12.433540187491304	56.509547838536360	86.696883371410780	92.655679543501380	92.648047385217780	94.710226750668080	94.014910385372380	96.101561221906840	94.757193122210060	96.138699254119380	95.161343980376320	96.539535009446560	95.164361413410780	96.358961029426280	94.924024866843880	95.995109873351940	94.264632927471600	95.116035056893840	92.901152464627100	92.906678963827820	86.870738715419520	52.993102435974220	12.013595784224590	6.488866451339020	4.931350411495946	3.740004478971523	3.264869948096950	2.815629813316945	2.460052535778500	2.144385424209826	1.878502532377635	1.630955207966492	1.471366230128363	1.313219680097799	1.167147541860034	1.054216571055816	0.939970471251359	0.848063549878162
-4.5	24	0.000000000000000	0.889523450539790	0.977811500626624	1.104153902205292	1.231022166087865	1.394938136693613	1.544745942691055	1.754096212496457	1.997304949647268	2.289683600545298	2.561868022610111	2.975812404723138	3.533813053410428	4.351225036696848	6.634359892682178	11.267967154201096	34.889561722959540	83.254285240487120	85.428456216279020	87.602627192070940	88.034142499932300	88.465657807793640	88.812517103914120	89.159376400034600	89.577689349022960	89.996002298011340	89.823280493520440	89.650558689029560	89.680733562475640	89.710908435921740	89.362848839000260	89.014789242078820	88.444471155528800	87.874153068978800	85.840818736670540	83.807484404362320	33.101836114444450	11.141736727616674	6.604501203953810	4.341755350654425	3.531506103856952	3.009374570639072	2.603682621389299	2.285761000791615	2.004307384878025	1.773682270454243	1.549797423043518	1.388418093146004	1.226257898229605	1.089108366320145	0.983710300574520	0.880712646853457	0.000000000000000
-5.0	23	0.719650251509732	0.811798080928020	0.894742382793745	1.009791595382351	1.114387054843667	1.266683504240001	1.399679949090410	1.605746411137158	1.817691917173298	2.043781270616180	2.267955570453153	2.635083504300134	3.002815674934265	3.701132521377103	4.410044051534214	8.286246511521058	13.269575607382708	16.365553867976260	19.461532128569820	20.107019653667910	20.752507178766010	20.844752824881530	20.936998470997050	21.219569682765960	21.502140894534870	21.742824713649520	21.983508532764170	21.915867972341140	21.848227411918110	21.849182486362590	21.850137560807070	21.647128412110090	21.444119263413120	21.142231030673530	20.840342797933950	17.025456295424310	13.210569792914672	8.297244917633208	4.445646286205119	3.709570911965171	3.034890015162788	2.672308868379948	2.303965100809565	2.054105879870141	1.813400844056415	1.610712561060394	1.406134120607331	1.263429067463115	1.114285453354469	1.010376222651589	0.910803618068660	0.818990304336127	0.751621267808855
-5.5	22	0.000000000000000	0.743276238868816	0.836652290154326	0.925883041686700	1.034056863086952	1.157728876332316	1.292117213897266	1.451517565788468	1.627091661829296	1.799793994292971	2.037703575682400	2.293750367089982	2.653010087503645	3.040445322343088	3.628637382477787	4.197399232966210	6.938938579490870	6.587450587054402	7.160713153930274	7.733975720806148	8.038965771773576	8.343955822741006	8.503971461672870	8.663987100604730	8.720355925373514	8.776724750142300	8.833661417648096	8.890598085153892	8.766703368410096	8.642808651666300	8.517131561747196	8.391454471828092	8.139859555065674	7.888264638303254	7.329075038036728	6.769885437770200	7.021432299571310	4.391026863796365	3.688888842891202	3.015991995838353	2.664437014158217	2.341005786908366	2.059599080791865	1.813296573822968	1.629845087861929	1.449633009123585	1.295482311463041	1.144878602744655	1.033922381365821	0.927307452863079	0.836905003061575	0.732823684613534	0.000000000000000
-6.0	21	0.625727673282373	0.698178234649901	0.782707497268044	0.859721975836599	0.938228479485124	1.050626189635876	1.159542464377869	1.307166121915964	1.439363170062445	1.617548465530723	1.789314370893494	2.035970103733813	2.275028985647244	2.596397802119921	2.866660923067635	3.367188776580365	3.701328890560161	4.494741129733156	4.445759304329551	5.202637432525172	4.946489305834406	5.659915369634654	5.390061751852090	6.017853716932394	5.659947955076126	6.172881464274216	5.758541444835826	6.173213360972484	5.590950035984928	6.008870512505046	5.433490841447790	5.715030561055428	4.986583977491768	5.238553639877722	4.382197098318673	4.533878375175266	3.714247103804000	3.436260965425480	2.902890225724971	2.595034439525943	2.265860258723360	2.045662726422983	1.780128861626563	1.620233618968529	1.443049924444749	1.311404676110073	1.181283513376593	1.058398038395661	0.949218016501078	0.861008232669130	0.776685256701025	0.696489525348940	0.642786651150964
-6.5	20	0.000000000000000	0.641001529180372	0.718633452871255	0.792068884906528	0.862813246197352	0.947004938348194	1.054684827844259	1.178241287435073	1.300852516416037	1.441722326873982	1.596787098793151	1.785786691304535	1.987062508155764	2.203455977421718	2.446404668672646	2.703366059727452	3.008949950350977	3.244425736988511	3.515512563191403	3.684325399130582	3.894144347183156	3.959154598111116	4.233784541584680	4.357418060196631	4.489114858852850	4.496311707042608	4.550468796807576	4.452763877915285	4.482265302581099	4.368232520921167	4.280972519422045	4.048592953454057	3.928002471845275	3.697168845397189	3.512801766954421	3.269183860808191	3.033270842087628	2.736879668376583	2.458186085256748	2.195395277817088	1.988231245998953	1.795655998433642	1.604840542519930	1.444459115979836	1.306332160896209	1.171652257495363	1.068625726481714	0.958212020960318	0.873085816719095	0.790822204611339	0.717219452622568	0.633662508930238	0.000000000000000
-7.0	19	0.547011822122833	0.599992943351167	0.658755900130076	0.719645528236601	0.773950682049559	0.855376882860769	0.933950621215899	1.049123209047890	1.144083281292647	1.271181977099736	1.370325006100594	1.545443439049293	1.683978378249558	1.871148651908195	2.012135714473777	2.243690604155603	2.386679114127782	2.615277071284973	2.687539812316970	2.936162393578985	2.986608085656521	3.190323419135998	3.228503756178881	3.461996521793516	3.442781713096036	3.597176966921168	3.494258157436583	3.602552291005996	3.517114775503017	3.516430025625670	3.273573761865169	3.218161863351124	2.979664111038087	2.944340560981589	2.702657263293630	2.639544414140102	2.412772735361739	2.260509616940010	1.997579169108351	1.875223956698106	1.696013449021724	1.570105459483380	1.399118194039679	1.285953746890646	1.166167345664886	1.061409785059863	0.963355114094580	0.875106153330174	0.794091024803644	0.725425245767055	0.667707840247670	0.603652124230489	0.561117524945295
-7.5	18	0.000000000000000	0.553202521971386	0.598138808431933	0.653806645860240	0.711572920842942	0.766601289829425	0.851460052680461	0.940217646247942	1.033742616902160	1.128597294131719	1.229806754045383	1.341683680542485	1.465652176068161	1.585024537487727	1.732268932531950	1.872581528293402	2.006314284857977	2.142463621706628	2.263714831185036	2.386176277211868	2.489851582044323	2.587027236597476	2.710690588117988	2.819282557702515	2.891950587352735	2.955356290109443	2.954136582057818	2.946072353169099	2.933674131422850	2.906799044213329	2.741401629550679	2.570816627047184	2.481750199468108	2.397872024197451	2.279610519168537	2.173563797096846	2.035279035022973	1.894806894913368	1.739882036546616	1.611907930845261	1.491366316273357	1.389634196438475	1.248009846055200	1.134070331878184	1.035519161832776	0.944464422984622	0.866694967840714	0.784766453462155	0.720446870449794	0.649079913405569	0.609985538627645	0.552120622798752	0.000000000000000
-8.0	17	0.477151827666893	0.506014608069274	0.526790165766029	0.591883039404781	0.651933065632545	0.702710018109752	0.765070653428577	0.841322028165232	0.922072245936329	1.001295754124457	1.078621035406732	1.173257750490195	1.251922107992876	1.367807651022962	1.459333949872893	1.570476121210489	1.623532875304098	1.773419634160541	1.838679613504680	1.966053200654164	1.999594728711425	2.139732570635640	2.207948801993079	2.344676368956225	2.350381788502947	2.445955091181278	2.420859527516149	2.445517464423191	2.364710352805952	2.374280489941308	2.214417085077033	2.135619327667167	1.978648035589711	1.964978652017879	1.844348992086219	1.796414763543945	1.659972712719938	1.593293433420217	1.455234151319485	1.383635877624332	1.267909688787968	1.187650301575158	1.069216661864461	0.997360490976629	0.897374546803413	0.841862828325851	0.774193880821499	0.714004706047359	0.653850090127808	0.602030692904208	0.571033778058589	0.519298378901044	0.484270169126249
-8.5	16	0.000000000000000	0.466913916872787	0.494145417535181	0.535002280360309	0.586532511962242	0.627235063548462	0.692529603910879	0.737927567048080	0.814682358423695	0.875892441023049	0.950232022591609	1.020804178018687	1.093515051693952	1.174950008738351	1.251162908782980	1.326456131371561	1.404126590204551	1.489002426126759	1.568805542412055	1.639762183188683	1.700075837044387	1.764359515240580	1.879392019474224	2.001092327626358	2.023580858185852	2.057222758596574	2.057873065577233	2.050427624201566	2.029071093419986	2.011195477668918	1.886531515993981	1.778595562954738	1.698134933540501	1.639045556198134	1.570825371716836	1.507773552272779	1.427256629134506	1.363159974728075	1.275309852614578	1.199491739544614	1.114051150454924	1.023840659209727	0.952370907065782	0.888780423360458	0.815946360801709	0.751418462693871	0.697695731547994	0.643208399777975	0.595376389387831	0.534158990024866	0.512524027411877	0.469768945620585	0.000000000000000
-9.0	15	0.392015138278680	0.426834529242187	0.447875307141598	0.489671556260665	0.531959638307653	0.580863638199245	0.639885131618397	0.675219503619166	0.722837179687320	0.775712110846417	0.825610435917968	0.887644687840097	0.926383912025896	1.006722242425842	1.043911545149117	1.129296122031658	1.177514928015787	1.262429157965749	1.307777946828099	1.378057751002491	1.396586921036859	1.492157531847901	1.544167433036880	1.676156126886746	1.685626558017528	1.735480047005723	1.702982351994645	1.740230407975343	1.689950919003508	1.681337022757084	1.541917938275233	1.499061241142629	1.396250579419420	1.380079887981290	1.292133386310212	1.264677108613998	1.178120276817231	1.155024886317421	1.083353544866138	1.035290190722149	0.964962514277387	0.899728384468458	0.827645883828483	0.781397978091051	0.726212010349094	0.673943403056314	0.621962182898631	0.581715096007126	0.550288077620674	0.503886248142073	0.475134395943467	0.438286010646528	0.406741618053292
-9.5	14	0.000000000000000	0.400533754675684	0.419099674786100	0.443848999233100	0.484154222104713	0.524374719322468	0.569143664963067	0.600228136122869	0.640468827034845	0.678508386757329	0.729169625547697	0.777780225397836	0.823949574972960	0.881643503790003	0.919609884106246	0.969301883590166	1.022036397656699	1.075421330892350	1.120406681559426	1.168103952956323	1.207374314111914	1.263516258077285	1.362408205082492	1.473738188866218	1.477277970644685	1.496088519414146	1.496461490128494	1.517560736701652	1.485559577014495	1.482283756080678	1.358407833218349	1.279480883921124	1.221523829700287	1.192890029997392	1.127196328913224	1.080681219055769	1.038595416907858	0.995465748858239	0.946156822317042	0.893352964200456	0.841051913720761	0.782464480558237	0.733749776024880	0.682953594826172	0.641136609561895	0.596180956283662	0.559841748436610	0.511401723731224	0.490064393325400	0.455963528979284	0.433822048426569	0.401499082968768	0.000000000000000
-10.0	13	0.000000000000000	0.000000000000000	0.384140638094018	0.409050890233854	0.436433531555631	0.468970433921615	0.512086672788535	0.535569395080632	0.560301605571862	0.606199042714688	0.634779454117654	0.682102347183598	0.709990658678105	0.759607862319165	0.783582603895697	0.836048043471116	0.865907448128492	0.917068157375787	0.930323495560932	0.990270459950282	1.001290124377191	1.093401995471164	1.168210940349584	1.253896352075507	1.253658616280849	1.289999668158408	1.269214352403531	1.298455174015280	1.252442896272143	1.247697751126557	1.129948754596361	1.090066775900288	1.017473825463210	1.004357596307144	0.943080680289524	0.929217933424148	0.900114422900195	0.863245943384191	0.812455031343334	0.776645082363888	0.723427695846965	0.690033367778931	0.641935144886631	0.606634314507039	0.559199876788651	0.537856444205093	0.509822130832923	0.475493375902036	0.442604242970420	0.421613959515300	0.402691185814757	0.000000000000000	0.000000000000000
-10.5	12	0.000000000000000	0.000000000000000	0.000000000000000	0.371780392052666	0.393923193695949	0.402986812019827	0.449613513692480	0.469661165839263	0.509368136967048	0.551206724411906	0.574391742912718	0.605859050540796	0.635781896153494	0.663214682912854	0.699607651122059	0.725400238270108	0.761654842339480	0.796620354921374	0.825321950827170	0.861364266906684	0.886848205282771	0.940590659080597	1.033120127721280	1.119977662805378	1.125671047097400	1.141037184535106	1.138996105795299	1.154602710683795	1.129581573636232	1.126115597557046	1.018559791210102	0.933363639620458	0.889165952842560	0.863985849478450	0.832643789686276	0.792995411451105	0.776588566032950	0.744948570434995	0.719455715410816	0.677344638064796	0.648614961898359	0.612306149823893	0.581082022632195	0.542448641526705	0.517429054768824	0.486222812915139	0.464051170860689	0.438145406073576	0.410010755516705	0.385196880296741	0.000000000000000	0.000000000000000	0.000000000000000
-11.0	11	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.364492039155673	0.382829856821387	0.413719404122296	0.432264713562267	0.456303052045162	0.485592197838894	0.505721742580518	0.537935257649170	0.564063192482220	0.592415120741930	0.626233079409577	0.641964900676562	0.658691328037944	0.693481621543985	0.712979685919689	0.743943305454401	0.744147770766612	0.825543033706242	0.903701248649561	0.969203073026792	0.988010724768267	1.003322694217293	0.991130175558764	1.007341032628160	0.985165090031943	0.967595386408369	0.884811173066545	0.819163980936291	0.741840496808123	0.747005360357137	0.730513217526025	0.698963988053351	0.668295859345504	0.658821010008264	0.643074621800138	0.611236480347665	0.581381363857781	0.551866202090403	0.527638154291549	0.497205413937557	0.481844887844801	0.445947706166510	0.422014333621119	0.396338749982211	0.374096492726084	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-11.5	10	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.350121171987752	0.374125591099260	0.389375232242347	0.414079725891689	0.429137272317990	0.451543986356534	0.476097044993147	0.496997441351029	0.516149528163069	0.546544441235512	0.557534956988619	0.582297904352296	0.605635117296932	0.628432620019956	0.657281498224618	0.669679955648157	0.713732456328200	0.797412999248580	0.865122655883960	0.881656903296056	0.893112692007033	0.889231215249730	0.898466154238138	0.877978652412610	0.874289684977940	0.781148278286331	0.716640614250037	0.671865839711484	0.651681877615952	0.631907351647420	0.604051463890768	0.594192187590666	0.578964988452418	0.564636188684668	0.543145297667944	0.519083436768096	0.486139140388389	0.467156346024174	0.436889972087174	0.424788882657828	0.393708790284983	0.379119212512181	0.351098767508066	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-12.0	9	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.343286556044643	0.360142092707999	0.381503346961258	0.388576571931848	0.395219885534480	0.419886891020242	0.431679999765682	0.461726522123553	0.486260200380783	0.497238514750820	0.507330215085689	0.533631568597680	0.537834178638585	0.565197020548843	0.563558097273197	0.630061922935881	0.707095636132601	0.762197464442505	0.780381540524962	0.788320850064164	0.774215839194985	0.782946135273623	0.753993680402417	0.741778768490580	0.648851640850801	0.623542693926078	0.577300370171826	0.570135251766581	0.541382847556937	0.540502611186556	0.525456438673972	0.511626715476275	0.493359846818171	0.480150139513309	0.465667945158269	0.442496676046844	0.417958117329582	0.400368182479342	0.386711880414353	0.364157163792508	0.349654958634557	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-12.5	8	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.326403235583749	0.342254099957921	0.348445782913662	0.360026775304792	0.376550633787657	0.397679838415898	0.412816360184676	0.429945286397788	0.437828686548187	0.459127610999675	0.483726763369515	0.488300613194768	0.502114308058973	0.515775545019636	0.535861502009525	0.625202034297000	0.696190025228498	0.706190653995164	0.705573328529676	0.707034364662991	0.705108867258950	0.696766385249283	0.689980067731161	0.614603379359263	0.551378150431650	0.526382003587657	0.510175911721610	0.492900236896549	0.491119694624548	0.471871278207159	0.448725587960539	0.440022104288840	0.418427468408851	0.419013697431220	0.400221501311135	0.384405119236264	0.359912760086258	0.351654949311522	0.326553025836139	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-13.0	7	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.312664034373015	0.320879743151123	0.319890798983370	0.345950025777236	0.369672359925578	0.375555772839016	0.382875898477505	0.398660622084286	0.407624778995308	0.426592902359013	0.429527202711997	0.447681474493510	0.461568272736848	0.500828281379096	0.561660973817378	0.620646962520808	0.642617721697521	0.649073748880060	0.643239423668353	0.646605531443661	0.637982925604603	0.617291120603379	0.568203658423440	0.508025442774276	0.466673582025541	0.452615627863844	0.428922493683101	0.433419767711390	0.422183391569577	0.411024492314552	0.399575513967797	0.388459623450936	0.391737874846624	0.369672903104717	0.359528098218082	0.338789063127497	0.333442130909338	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-13.5	6	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.302518356334445	0.307194042983064	0.317686310412341	0.334180154398820	0.336858472768303	0.354333475401306	0.366313124316142	0.374996934924438	0.385492864359233	0.392675692136262	0.397516114466220	0.416958676738429	0.444222376952632	0.519647134570896	0.582119129339835	0.594795986884869	0.604864521624689	0.601000084147411	0.600090909242737	0.590670452728174	0.572997830654312	0.511991764526093	0.445846380216475	0.420684724100843	0.404690524025125	0.394372293524122	0.391453490968333	0.383529099196415	0.373613475760297	0.364583976534895	0.344097636580471	0.346091945514467	0.327204138043026	0.323397628917619	0.302273263296311	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-14.0	5	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.288680706202100	0.295733848155110	0.312503474489058	0.317212919337049	0.331286406043276	0.335253505549386	0.340556972027067	0.349586975729729	0.358166587007598	0.361446408805039	0.364527942798016	0.414705410382657	0.490586058173739	0.529723333875883	0.549582574877430	0.552659621706254	0.555805482053864	0.551238938345018	0.551610145411043	0.519975204117853	0.460919188810147	0.409182621461430	0.365528410136233	0.361597972426181	0.352422665419930	0.353298366214630	0.346866038487453	0.342185503682972	0.341049279831013	0.326009255930968	0.321328132587747	0.307517858929282	0.304585016113055	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-14.5	4	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.264064901516940	0.281966866633259	0.288203324047559	0.300023713384236	0.302857519811061	0.311690263594255	0.314131479525018	0.324297518842651	0.325574990948322	0.338855957347175	0.359485263606244	0.440220801138554	0.496605573112528	0.504670438456193	0.500385908269032	0.506544259036439	0.497449216672428	0.504439531529667	0.494373651595908	0.425622170964297	0.364436506682866	0.344232170295488	0.323750290123436	0.324788571573393	0.322451269982803	0.318848349026146	0.307213220653123	0.309389930451536	0.297561974724639	0.295378178935794	0.276954148973298	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-15.0	3	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.263095766479477	0.268039100378982	0.277747603635048	0.282062621867111	0.289215083013873	0.291175413824647	0.299317017889668	0.301283672500304	0.305835632036120	0.344580876531536	0.414206309661705	0.454313552140205	0.472107697565782	0.471059324772145	0.472536429150430	0.470154907057354	0.474325112439290	0.446520991828631	0.382759336768268	0.343410045514225	0.323213474239416	0.306112046193275	0.300530060767402	0.298223297360533	0.298862866981204	0.290676574225319	0.291735246597369	0.279937215696164	0.285668459457491	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-15.5	2	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.243109707353843	0.250955104882121	0.258430281008463	0.259208029976705	0.262038074870028	0.273217892961361	0.274407049127107	0.289883038104186	0.298796300822074	0.374627405408077	0.434334628220807	0.438656820407844	0.439207264103335	0.442587404648729	0.436308869967268	0.440312084164336	0.434625866511058	0.366448248254963	0.303230864366349	0.292366747055918	0.276954359642845	0.275157395349213	0.271048991710724	0.271212158799998	0.264894962669578	0.261321967210704	0.244783182005156	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-16.0	1	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.224532827531129	0.000000000000000	0.227148681014456	0.000000000000000	0.257109429958640	0.000000000000000	0.280493170431445	0.000000000000000	0.351172382927723	0.000000000000000	0.408977691741454	0.000000000000000	0.422297055373883	0.000000000000000	0.415988487739728	0.000000000000000	0.345176925374177	0.000000000000000	0.266068289975061	0.000000000000000	0.252096169275881	0.000000000000000	0.250041813838484	0.000000000000000	0.243874477570715	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
